Occupation - unit group4,State2,Number of individuals,"Average taxable income3
$","Median taxable income3
$","Average salary or wage income3 
$","Median salary or wage income3 
$","Average total income3 
$","Median total income3 
$"
3111 Agricultural technician,SA,211,"59,485","57,024","13,116","11,749","61,770","58,508"
3111 Agricultural technician,TAS,83,"52,835","53,823","10,681","10,331","54,628","54,203"
3111 Agricultural technician,VIC,417,"57,136","51,417","12,033","10,261","59,376","53,884"
3111 Agricultural technician,WA,357,"66,564","66,977","15,685","16,023","68,471","68,268"
3112 Medical technician,ACT,406,"48,333","44,015","9,959","7,412","49,615","45,298"
3112 Medical technician,NSW,"8,683","50,405","45,497","10,367","8,092","52,402","47,241"
3112 Medical technician,NT,253,"52,214","49,810","11,326","9,970","53,934","51,634"
3112 Medical technician,QLD,"5,772","49,260","45,409","9,933","7,876","50,934","46,752"
3112 Medical technician,SA,"1,941","46,832","42,740","9,001","6,952","48,242","43,860"
3112 Medical technician,TAS,478,"48,347","46,257","9,588","8,276","49,707","47,642"
3112 Medical technician,VIC,"7,399","47,429","42,972","9,341","7,242","49,272","44,663"
3112 Medical technician,WA,"3,559","49,460","45,747","10,393","8,288","51,032","47,166"
3113 Primary products inspector,ACT,48,"86,472","85,804","23,864","23,008","89,572","88,161"
3113 Primary products inspector,NSW,"1,517","71,029","68,193","17,870","15,972","73,563","69,715"
3113 Primary products inspector,NT,90,"84,263","80,443","23,153","20,910","86,409","82,888"
3113 Primary products inspector,QLD,"1,088","67,031","66,429","15,978","15,600","69,110","68,121"
3113 Primary products inspector,SA,385,"62,118","62,737","14,468","14,310","63,965","64,327"
3113 Primary products inspector,TAS,128,"61,447","61,966","14,663","14,495","63,074","63,581"
3113 Primary products inspector,VIC,"1,177","63,588","62,452","15,251","14,352","66,274","65,097"
3113 Primary products inspector,WA,681,"75,309","74,038","19,807","18,544","77,459","76,226"
3114 Science technician,ACT,323,"52,019","54,536","11,496","11,310","52,845","56,730"
3114 Science technician,NSW,"3,991","54,873","53,140","12,515","11,068","56,442","54,672"
3114 Science technician,NT,147,"69,174","65,234","18,583","15,452","71,323","67,011"
3114 Science technician,QLD,"3,528","56,038","53,901","12,814","11,288","57,664","55,618"
3114 Science technician,SA,"1,275","50,820","52,405","11,084","10,304","51,932","53,431"
3114 Science technician,TAS,371,"51,687","51,912","11,353","10,076","52,753","52,516"
3114 Science technician,VIC,"3,465","51,133","50,118","10,904","9,739","52,563","51,444"
3114 Science technician,WA,"3,090","59,914","56,031","14,536","12,016","61,129","57,284"
3120 Draftsperson - type not specified,NSW,18,"64,329","67,084","15,152","14,445","66,065","67,561"
3120 Draftsperson - type not specified,QLD,12,"57,536","63,334","12,034","14,832","59,264","67,559"
3120 Draftsperson - type not specified,VIC,21,"47,532","48,389","10,426","9,898","48,453","48,674"
3120 Draftsperson - type not specified,WA,5,"71,275","65,365","14,074","14,196","71,530","65,665"
"3121 Architectural, building or surveying technician",ACT,565,"85,027","75,729","21,203","18,632","90,521","79,117"
"3121 Architectural, building or surveying technician",NSW,"14,421","81,912","73,384","21,212","17,949","85,916","76,928"
"3121 Architectural, building or surveying technician",NT,459,"92,573","77,287","27,444","19,987","95,931","81,539"
"3121 Architectural, building or surveying technician",QLD,"10,007","82,516","74,935","22,496","18,906","86,454","78,354"
"3121 Architectural, building or surveying technician",SA,"2,577","74,620","68,924","18,595","16,141","78,013","71,418"
"3121 Architectural, building or surveying technician",TAS,686,"69,700","64,635","16,422","14,652","72,806","67,002"
"3121 Architectural, building or surveying technician",VIC,"11,135","76,626","69,405","19,537","16,692","80,485","72,827"
"3121 Architectural, building or surveying technician",WA,"6,555","87,346","77,794","24,176","19,740","90,532","80,652"
3122 Civil engineering draftsperson or technician,ACT,103,"69,076","66,884","16,342","15,987","71,312","67,834"
3122 Civil engineering draftsperson or technician,NSW,"2,533","72,125","70,664","18,254","16,905","74,489","72,829"
3122 Civil engineering draftsperson or technician,NT,91,"85,711","78,023","22,704","19,121","88,223","82,847"
3122 Civil engineering draftsperson or technician,QLD,"2,675","75,267","71,822","19,085","17,481","77,513","74,012"
3122 Civil engineering draftsperson or technician,SA,570,"72,414","69,865","18,016","16,458","74,423","71,923"
3122 Civil engineering draftsperson or technician,TAS,177,"64,992","64,251","15,411","14,362","66,784","65,629"
3122 Civil engineering draftsperson or technician,VIC,"1,647","71,928","68,218","17,932","16,051","74,564","70,734"
3122 Civil engineering draftsperson or technician,WA,"1,448","84,317","77,612","23,192","19,797","86,465","80,058"
3123 Electrical engineering draftsperson or technician,ACT,103,"88,477","85,475","23,051","21,909","90,631","86,785"
3123 Electrical engineering draftsperson or technician,NSW,"3,153","84,771","80,641","22,706","20,687","88,092","83,788"
3123 Electrical engineering draftsperson or technician,NT,125,"118,432","109,112","37,389","30,980","122,536","111,937"
3123 Electrical engineering draftsperson or technician,QLD,"1,946","94,066","88,612","26,413","23,598","97,180","91,960"
3123 Electrical engineering draftsperson or technician,SA,628,"85,872","80,044","22,428","19,604","88,645","82,252"
3123 Electrical engineering draftsperson or technician,TAS,211,"82,484","83,216","21,573","20,508","85,074","85,249"
3123 Electrical engineering draftsperson or technician,VIC,"2,290","83,183","76,683","22,344","19,065","86,383","79,701"
3123 Electrical engineering draftsperson or technician,WA,"1,407","108,786","94,417","31,892","26,023","111,794","97,524"
3124 Electronic engineering draftsperson or technician,ACT,104,"87,557","87,418","22,767","22,078","89,552","88,878"
3124 Electronic engineering draftsperson or technician,NSW,"1,855","74,992","70,901","18,973","16,798","78,086","74,004"
3124 Electronic engineering draftsperson or technician,NT,68,"98,467","96,371","27,932","25,403","101,684","98,793"
3124 Electronic engineering draftsperson or technician,QLD,883,"79,288","74,609","20,347","17,956","82,452","76,759"
3124 Electronic engineering draftsperson or technician,SA,440,"76,396","73,880","18,663","17,646","78,681","76,684"
3124 Electronic engineering draftsperson or technician,TAS,83,"81,932","81,043","19,914","18,992","84,189","84,437"
3124 Electronic engineering draftsperson or technician,VIC,"1,253","72,285","67,470","17,932","15,684","75,490","69,958"
3124 Electronic engineering draftsperson or technician,WA,703,"93,310","83,149","25,727","21,773","96,091","86,132"
3125 Mechanical engineering draftsperson or technician,ACT,66,"76,753","75,365","18,988","18,299","78,807","78,530"
3125 Mechanical engineering draftsperson or technician,NSW,"2,243","77,467","74,021","20,263","18,085","80,546","76,338"
3125 Mechanical engineering draftsperson or technician,NT,99,"110,482","89,369","34,436","24,377","113,149","93,031"
3125 Mechanical engineering draftsperson or technician,QLD,"1,635","82,709","75,910","22,317","19,182","85,608","78,599"
3125 Mechanical engineering draftsperson or technician,SA,622,"78,627","73,786","20,379","17,691","81,036","75,432"
3125 Mechanical engineering draftsperson or technician,TAS,138,"79,413","71,709","21,801","17,956","81,928","74,741"
3125 Mechanical engineering draftsperson or technician,VIC,"2,030","75,641","71,782","19,233","17,306","78,601","74,999"
3125 Mechanical engineering draftsperson or technician,WA,"1,960","102,647","90,869","30,383","25,290","105,678","94,039"
3126 Safety inspector,ACT,80,"91,002","89,108","24,009","23,127","94,120","93,105"
3126 Safety inspector,NSW,"2,100","91,630","86,948","26,086","23,896","96,284","91,817"
3126 Safety inspector,NT,107,"100,487","87,877","30,096","24,720","103,697","93,912"
3126 Safety inspector,QLD,"1,922","99,034","85,289","26,455","22,984","102,851","88,688"
3126 Safety inspector,SA,498,"85,570","80,424","22,733","20,879","88,777","84,175"
3126 Safety inspector,TAS,143,"81,268","74,523","19,908","18,338","83,738","77,253"
3126 Safety inspector,VIC,"1,415","86,948","82,079","24,524","22,005","91,666","86,850"
3126 Safety inspector,WA,"1,446","105,062","95,534","32,272","27,698","108,305","98,872"
3129 Other building or engineering technician,ACT,97,"68,256","62,004","16,413","14,232","70,984","65,180"
3129 Other building or engineering technician,NSW,"4,711","101,157","87,081","29,730","23,101","104,633","90,435"
3129 Other building or engineering technician,NT,344,"111,303","97,010","34,113","27,038","114,232","100,226"
3129 Other building or engineering technician,QLD,"5,263","117,880","109,371","36,823","33,220","121,252","113,885"
3129 Other building or engineering technician,SA,"1,586","91,462","80,212","25,788","20,622","94,362","82,438"
3129 Other building or engineering technician,TAS,425,"90,530","87,455","25,556","22,846","92,673","88,571"
3129 Other building or engineering technician,VIC,"3,018","78,217","69,551","20,601","16,785","81,273","72,731"
3129 Other building or engineering technician,WA,"6,518","134,836","133,062","43,427","42,055","138,020","135,920"
3131 IT support technician,ACT,891,"71,006","66,667","17,915","16,111","72,769","68,694"
3131 IT support technician,NSW,"9,559","63,531","57,731","15,324","12,541","65,522","59,803"
3131 IT support technician,NT,228,"61,839","57,302","14,448","11,677","63,993","59,797"
3131 IT support technician,QLD,"4,569","56,997","54,455","12,856","11,242","58,595","56,203"
3131 IT support technician,SA,"1,741","56,827","55,018","12,467","11,280","58,275","56,626"
3131 IT support technician,TAS,426,"55,328","53,196","12,427","10,699","56,812","54,387"
3131 IT support technician,VIC,"7,603","60,418","54,441","14,231","11,386","62,423","56,296"
3131 IT support technician,WA,"2,226","60,394","57,801","14,394","12,735","62,092","59,760"
3132 Telecommunications technical specialist,ACT,158,"97,300","89,706","26,156","24,022","99,699","91,735"
3132 Telecommunications technical specialist,NSW,"2,186","88,733","85,802","23,654","22,097","91,726","88,862"
3132 Telecommunications technical specialist,NT,62,"88,568","79,666","24,651","22,087","92,486","87,657"
3132 Telecommunications technical specialist,QLD,"1,264","85,483","83,242","22,075","20,653","88,149","86,198"
3132 Telecommunications technical specialist,SA,444,"86,190","81,646","21,817","20,521","88,446","84,897"
3132 Telecommunications technical specialist,TAS,149,"83,724","83,778","21,380","21,117","85,350","85,107"
3132 Telecommunications technical specialist,VIC,"1,819","87,695","85,570","23,326","22,089","90,657","87,940"
3132 Telecommunications technical specialist,WA,592,"93,821","90,474","26,363","24,424","97,459","93,737"
3211 Automotive electrician,ACT,47,"67,426","59,484","14,934","13,376","70,131","65,158"
3211 Automotive electrician,NSW,"1,669","68,917","62,172","16,815","13,952","72,600","65,835"
3211 Automotive electrician,NT,82,"74,934","71,467","19,255","17,518","78,300","73,392"
3211 Automotive electrician,QLD,"1,756","74,763","66,478","19,730","15,803","78,543","70,358"
3211 Automotive electrician,SA,389,"66,260","58,646","15,760","12,649","69,366","61,118"
3211 Automotive electrician,TAS,138,"60,189","52,844","12,954","10,332","62,842","55,608"
3211 Automotive electrician,VIC,"1,289","61,865","56,923","14,093","12,072","65,183","60,559"
3211 Automotive electrician,WA,"1,397","96,284","90,141","27,999","25,246","99,840","94,560"
3212 Motor mechanic,ACT,864,"61,500","60,090","14,041","13,081","64,655","63,129"
3212 Motor mechanic,NSW,"26,598","63,672","58,821","15,323","13,069","67,280","62,435"
3212 Motor mechanic,NT,"1,631","77,672","72,767","21,050","18,055","81,381","76,605"
3212 Motor mechanic,QLD,"21,913","68,190","61,050","17,317","13,961","71,982","64,794"
3212 Motor mechanic,SA,"6,706","63,032","58,524","15,122","12,740","66,114","61,344"
3212 Motor mechanic,TAS,"2,046","58,988","54,959","13,492","11,366","61,863","57,627"
3212 Motor mechanic,VIC,"21,325","57,002","53,996","12,830","11,335","60,324","57,342"
3212 Motor mechanic,WA,"14,757","88,417","79,827","25,335","20,809","91,994","83,362"
"3221 Metal casting, forging or finishing trades worker",NSW,372,"49,227","47,614","10,052","8,445","51,192","49,689"
"3221 Metal casting, forging or finishing trades worker",NT,9,"43,804","55,093","9,180","12,122","46,527","59,636"
"3221 Metal casting, forging or finishing trades worker",QLD,255,"50,946","49,059","10,733","9,423","52,750","51,264"
"3221 Metal casting, forging or finishing trades worker",SA,96,"45,466","45,092","8,811","7,853","46,534","47,804"
"3221 Metal casting, forging or finishing trades worker",TAS,11,"33,233","27,459","5,224","3,115","33,662","27,609"
"3221 Metal casting, forging or finishing trades worker",VIC,402,"52,036","46,995","10,446","8,578","54,102","49,038"
"3221 Metal casting, forging or finishing trades worker",WA,171,"64,086","56,102","11,217","12,001","66,478","59,320"
3222 Sheetmetal trades worker,ACT,73,"74,906","77,112","18,731","20,295","78,853","81,788"
3222 Sheetmetal trades worker,NSW,"2,448","64,256","59,946","14,842","13,078","67,259","62,934"
3222 Sheetmetal trades worker,NT,110,"75,376","71,970","19,842","17,564","78,882","74,954"
3222 Sheetmetal trades worker,QLD,"2,329","65,902","60,456","16,039","13,409","69,366","63,669"
3222 Sheetmetal trades worker,SA,582,"61,759","56,032","14,072","11,418","63,882","57,910"
3222 Sheetmetal trades worker,TAS,220,"54,171","52,998","11,462","10,592","56,186","54,710"
3222 Sheetmetal trades worker,VIC,"1,801","64,121","59,602","15,085","13,032","67,102","61,881"
3222 Sheetmetal trades worker,WA,"1,228","81,386","68,258","21,809","16,462","84,155","70,534"
3223 Structural steel or welding trades worker,ACT,256,"61,730","59,712","14,369","12,781","64,998","62,264"
3223 Structural steel or welding trades worker,NSW,"16,379","64,923","59,960","16,053","13,503","68,181","63,238"
3223 Structural steel or welding trades worker,NT,"1,016","100,619","82,497","31,173","22,288","104,902","85,900"
3223 Structural steel or welding trades worker,QLD,"17,634","73,145","64,045","19,606","15,156","76,820","67,674"
3223 Structural steel or welding trades worker,SA,"4,804","66,118","59,574","16,417","13,241","68,951","62,473"
3223 Structural steel or welding trades worker,TAS,"1,777","63,093","59,415","15,501","13,431","66,367","62,514"
3223 Structural steel or welding trades worker,VIC,"14,059","63,697","59,077","15,528","13,081","67,203","62,092"
3223 Structural steel or welding trades worker,WA,"14,031","90,198","79,450","26,658","21,422","93,641","82,935"
3231 Aircraft maintenance engineer,ACT,109,"109,634","94,786","32,337","24,105","114,150","97,781"
3231 Aircraft maintenance engineer,NSW,"3,868","95,610","85,649","26,791","22,485","100,354","89,687"
3231 Aircraft maintenance engineer,NT,322,"94,246","85,480","26,490","22,448","98,607","89,303"
3231 Aircraft maintenance engineer,QLD,"3,247","92,591","84,527","25,880","21,964","97,320","88,812"
3231 Aircraft maintenance engineer,SA,775,"92,276","82,845","25,256","20,472","96,468","86,035"
3231 Aircraft maintenance engineer,TAS,48,"98,117","83,435","28,422","21,559","103,554","86,232"
3231 Aircraft maintenance engineer,VIC,"1,805","93,697","86,137","27,318","23,756","98,953","91,792"
3231 Aircraft maintenance engineer,WA,923,"102,963","94,499","30,947","26,048","108,046","100,831"
